Case ID,Date Filed,#,Docket Text,standard_clean,keep_allcaps_clean,,,,,,,
 1:16-cv-01215-AMD-SJB,2016-04-12,9,"MOTION for Extension of Time to File Answer by Cardiogenics Holdings, Inc. (Kogan, Simon) Modified on 4/13/2016 to add motion (Quinlan, Krista). (Entered: 04/12/2016)","['motion', 'extension', 'time', 'file', 'answer', 'cardiogenics', 'hold', 'inc', 'kogan', 'simon', 'modify', '4132016', 'add', 'motion', 'quinlan', 'krista', 'enter', '04122016']","['MOTION', 'extension', 'time', 'file', 'answer', 'cardiogenics', 'hold', 'inc', 'kogan', 'simon', 'modify', '4132016', 'add', 'motion', 'quinlan', 'krista', 'enter', '04122016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-04-13,10,"NOTICE of Appearance by Simon S. Kogan on behalf of Cardiogenics Holdings, Inc. (aty to be noticed) (Kogan, Simon) (Entered: 04/13/2016)","['notice', 'appearance', 'simon', 's', 'kogan', 'behalf', 'cardiogenics', 'hold', 'inc', 'aty', 'notice', 'kogan', 'simon', 'enter', '04132016']","['NOTICE', 'appearance', 'simon', 'S', 'kogan', 'behalf', 'cardiogenics', 'hold', 'inc', 'aty', 'notice', 'kogan', 'simon', 'enter', '04132016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-04-13,11,"ORDER granting 9 Motion for Extension of Time to Answer. Defendant's deadline to answer the Complaint or otherwise move is extended to 5/17/2016. SCHEDULING ORDER: As set forth in the attached Order, an Initial Conference is scheduled for 5/20/2016 at 12:00 PM before Magistrate Judge Scanlon in Courtroom 504 North. Plaintiff's counsel is directed to confirm with Defendant's counsel that all necessary participants are aware of this conference. Counsel must complete the attached joint proposed scheduling order and file on ECF no later than 5/12/2016. Ordered by Magistrate Judge Vera M. Scanlon on 4/13/2016. (Quinlan, Krista) (Entered: 04/13/2016)","['order', 'grant', '9', 'motion', 'extension', 'time', 'answer', 'defendants', 'deadline', 'answer', 'complaint', 'otherwise', 'move', 'extend', '5172016', 'schedule', 'order', 'set', 'forth', 'attach', 'order', 'initial', 'conference', 'schedule', '5202016', '1200', 'pm', 'magistrate', 'judge', 'scanlon', 'courtroom', '504', 'north', 'plaintiffs', 'counsel', 'direct', 'confirm', 'defendants', 'counsel', 'necessary', 'participants', 'aware', 'conference', 'counsel', 'must', 'complete', 'attach', 'joint', 'propose', 'schedule', 'order', 'file', 'ecf', 'later', '5122016', 'order', 'magistrate', 'judge', 'vera', 'm', 'scanlon', '4132016', 'quinlan', 'krista', 'enter', '04132016']","['ORDER', 'grant', '9', 'motion', 'extension', 'time', 'answer', 'defendants', 'deadline', 'answer', 'complaint', 'otherwise', 'move', 'extend', '5172016', 'SCHEDULINGORDER', 'set', 'forth', 'attach', 'order', 'initial', 'conference', 'schedule', '5202016', '1200', 'PM', 'magistrate', 'judge', 'scanlon', 'courtroom', '504', 'north', 'plaintiffs', 'counsel', 'direct', 'confirm', 'defendants', 'counsel', 'necessary', 'participants', 'aware', 'conference', 'counsel', 'must', 'complete', 'attach', 'joint', 'propose', 'schedule', 'order', 'file', 'ECF', 'later', '5122016', 'order', 'magistrate', 'judge', 'vera', 'M', 'scanlon', '4132016', 'quinlan', 'krista', 'enter', '04132016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-05-09,12,"Letter pre-motion conference request by Cardiogenics Holdings, Inc. (Kogan, Simon) (Entered: 05/09/2016)","['letter', 'premotion', 'conference', 'request', 'cardiogenics', 'hold', 'inc', 'kogan', 'simon', 'enter', '05092016']","['letter', 'premotion', 'conference', 'request', 'cardiogenics', 'hold', 'inc', 'kogan', 'simon', 'enter', '05092016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-05-11,13,"Letter Response to Defendant's Request for Pre-Motion Conference by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 05/11/2016)","['letter', 'response', 'defendants', 'request', 'premotion', 'conference', 'lg', 'capital', 'fund', 'llc', 'kehrli', 'kevin', 'enter', '05112016']","['letter', 'response', 'defendants', 'request', 'premotion', 'conference', 'LG', 'capital', 'fund', 'LLC', 'kehrli', 'kevin', 'enter', '05112016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-05-12,14,"Proposed Scheduling Order by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 05/12/2016)","['propose', 'schedule', 'order', 'lg', 'capital', 'fund', 'llc', 'kehrli', 'kevin', 'enter', '05122016']","['propose', 'schedule', 'order', 'LG', 'capital', 'fund', 'LLC', 'kehrli', 'kevin', 'enter', '05122016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-05-12,15,"Letter re: Proposed Scheduling Order by LG Capital Funding, LLC (Attachments: # 1 Exhibit A, # 2 Exhibit B) (Kehrli, Kevin) (Entered: 05/12/2016)","['letter', 're', 'propose', 'schedule', 'order', 'lg', 'capital', 'fund', 'llc', 'attachments', '1', 'exhibit', 'a', '2', 'exhibit', 'b', 'kehrli', 'kevin', 'enter', '05122016']","['letter', 're', 'propose', 'schedule', 'order', 'LG', 'capital', 'fund', 'LLC', 'attachments', '1', 'exhibit', 'A', '2', 'exhibit', 'B', 'kehrli', 'kevin', 'enter', '05122016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-05-13,,"ORDER The request for a pre motion conference 12 is denied. The Court's review of the complaint indicates that a motion to dismiss would not be the best use of the Court's resources at this time. Nevertheless, should the defendant decide to file a motion to dismiss, the defendant is reminded that it must file an answer, or otherwise move, by May 17, 2016. Ordered by Judge Ann M Donnelly on 5/13/2016. (Sise, Ellen) (Entered: 05/13/2016)","['order', 'request', 'pre', 'motion', 'conference', '12', 'deny', 'court', 'review', 'complaint', 'indicate', 'motion', 'dismiss', 'would', 'best', 'use', 'court', 'resources', 'time', 'nevertheless', 'defendant', 'decide', 'file', 'motion', 'dismiss', 'defendant', 'remind', 'must', 'file', 'answer', 'otherwise', 'move', 'may', '17', '2016', 'order', 'judge', 'ann', 'donnelly', '5132016', 'sise', 'ellen', 'enter', '05132016']","['ORDER', 'request', 'pre', 'motion', 'conference', '12', 'deny', 'court', 'review', 'complaint', 'indicate', 'motion', 'dismiss', 'would', 'best', 'use', 'court', 'resources', 'time', 'nevertheless', 'defendant', 'decide', 'file', 'motion', 'dismiss', 'defendant', 'remind', 'must', 'file', 'answer', 'otherwise', 'move', 'may', '17', '2016', 'order', 'judge', 'ann', 'M', 'donnelly', '5132016', 'sise', 'ellen', 'enter', '05132016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-05-17,16,"ANSWER to 1 Complaint, , COUNTERCLAIM against All Plaintiffs by All Defendants. (Attachments: # 1 Exhibit eX. a) (Kogan, Simon) (Entered: 05/17/2016)","['answer', '1', 'complaint', 'counterclaim', 'plaintiffs', 'defendants', 'attachments', '1', 'exhibit', 'ex', 'a', 'kogan', 'simon', 'enter', '05172016']","['ANSWER', '1', 'complaint', 'COUNTERCLAIM', 'plaintiffs', 'defendants', 'attachments', '1', 'exhibit', 'ex', 'a', 'kogan', 'simon', 'enter', '05172016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-05-20,,"Minute Entry for proceedings held before Magistrate Judge Vera M. Scanlon:Initial Conference Hearing held on 5/20/2016 in Room 504 North. Kevin Kehrli appearing for Plaintiff and Simon Kogan appearing for Defendant. See separate docket entry for Order issuing from this proceeding. (Tape #12:16-12:53.) (Gillespie, Saudia) (Entered: 05/20/2016)","['minute', 'entry', 'proceed', 'hold', 'magistrate', 'judge', 'vera', 'm', 'scanloninitial', 'conference', 'hear', 'hold', '5202016', 'room', '504', 'north', 'kevin', 'kehrli', 'appear', 'plaintiff', 'simon', 'kogan', 'appear', 'defendant', 'see', 'separate', 'docket', 'entry', 'order', 'issue', 'proceed', 'tape', '12161253', 'gillespie', 'saudia', 'enter', '05202016']","['minute', 'entry', 'proceed', 'hold', 'magistrate', 'judge', 'vera', 'M', 'scanloninitial', 'conference', 'hear', 'hold', '5202016', 'room', '504', 'north', 'kevin', 'kehrli', 'appear', 'plaintiff', 'simon', 'kogan', 'appear', 'defendant', 'see', 'separate', 'docket', 'entry', 'order', 'issue', 'proceed', 'tape', '12161253', 'gillespie', 'saudia', 'enter', '05202016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-05-20,17,"SCHEDULING ORDER: As discussed during the 5/20/2016 conference (see attached order for additional detail and deadlines), On or before 9/19/2016, the Parties will file a joint status report letter confirming that discovery is complete. On or before 10/20/2016, the Parties will initiate any dispositive motions in accordance with the Individual Rules of the District Judge. On or before 10/21/2016, the Parties will file their joint Proposed Pretrial Order. A Telephone Conference is set for 7/27/2016 at 10:30 a.m. before Magistrate Judge Vera M. Scanlon. Plaintiff's counsel is to organize a conference call, then phone Chambers at (718) 613-2300 with all counsel on the line. Ordered by Magistrate Judge Vera M. Scanlon on 5/20/2016. (Gillespie, Saudia) (Entered: 05/20/2016)","['schedule', 'order', 'discuss', '5202016', 'conference', 'see', 'attach', 'order', 'additional', 'detail', 'deadlines', '9192016', 'party', 'file', 'joint', 'status', 'report', 'letter', 'confirm', 'discovery', 'complete', '10202016', 'party', 'initiate', 'dispositive', 'motion', 'accordance', 'individual', 'rule', 'district', 'judge', '10212016', 'party', 'file', 'joint', 'propose', 'pretrial', 'order', 'telephone', 'conference', 'set', '7272016', '1030', 'be', 'magistrate', 'judge', 'vera', 'm', 'scanlon', 'plaintiffs', 'counsel', 'organize', 'conference', 'call', 'phone', 'chamber', '718', '6132300', 'counsel', 'line', 'order', 'magistrate', 'judge', 'vera', 'm', 'scanlon', '5202016', 'gillespie', 'saudia', 'enter', '05202016']","['SCHEDULINGORDER', 'discuss', '5202016', 'conference', 'see', 'attach', 'order', 'additional', 'detail', 'deadlines', '9192016', 'party', 'file', 'joint', 'status', 'report', 'letter', 'confirm', 'discovery', 'complete', '10202016', 'party', 'initiate', 'dispositive', 'motion', 'accordance', 'individual', 'rule', 'district', 'judge', '10212016', 'party', 'file', 'joint', 'propose', 'pretrial', 'order', 'A', 'telephone', 'conference', 'set', '7272016', '1030', 'be', 'magistrate', 'judge', 'vera', 'M', 'scanlon', 'plaintiffs', 'counsel', 'organize', 'conference', 'call', 'phone', 'chamber', '718', '6132300', 'counsel', 'line', 'order', 'magistrate', 'judge', 'vera', 'M', 'scanlon', '5202016', 'gillespie', 'saudia', 'enter', '05202016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-06-01,18,"MOTION for pre motion conference re 16 Answer to Complaint, Counterclaim to Dismiss Counterclaims by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 06/01/2016)","['motion', 'pre', 'motion', 'conference', '16', 'answer', 'complaint', 'counterclaim', 'dismiss', 'counterclaim', 'lg', 'capital', 'fund', 'llc', 'kehrli', 'kevin', 'enter', '06012016']","['MOTION', 'pre', 'motion', 'conference', '16', 'answer', 'complaint', 'counterclaim', 'dismiss', 'counterclaim', 'LG', 'capital', 'fund', 'LLC', 'kehrli', 'kevin', 'enter', '06012016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-06-06,19,"Letter responding to pre-motion request by Cardiogenics Holdings, Inc. (Kogan, Simon) (Entered: 06/06/2016)","['letter', 'respond', 'premotion', 'request', 'cardiogenics', 'hold', 'inc', 'kogan', 'simon', 'enter', '06062016']","['letter', 'respond', 'premotion', 'request', 'cardiogenics', 'hold', 'inc', 'kogan', 'simon', 'enter', '06062016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-06-14,20,"REPLY to Response to Motion re 18 MOTION for pre motion conference re 16 Answer to Complaint, Counterclaim to Dismiss Counterclaims filed by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 06/14/2016)","['reply', 'response', 'motion', '18', 'motion', 'pre', 'motion', 'conference', '16', 'answer', 'complaint', 'counterclaim', 'dismiss', 'counterclaim', 'file', 'lg', 'capital', 'fund', 'llc', 'kehrli', 'kevin', 'enter', '06142016']","['REPLY', 'response', 'motion', '18', 'MOTION', 'pre', 'motion', 'conference', '16', 'answer', 'complaint', 'counterclaim', 'dismiss', 'counterclaim', 'file', 'LG', 'capital', 'fund', 'LLC', 'kehrli', 'kevin', 'enter', '06142016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-06-30,,"ORDER denying 18 Motion for Pre Motion Conference. Given that the defendant is considering filing an amended complaint, a pre motion conference is unnecessary at this time. The amended counterclaim, if any, shall be filed by August 1, 2016. At that time, the plaintiff may renew its request for a pre motion conference. Ordered by Judge Ann M Donnelly on 6/30/2016. (Sise, Ellen) (Entered: 06/30/2016)","['order', 'deny', '18', 'motion', 'pre', 'motion', 'conference', 'give', 'defendant', 'consider', 'file', 'amend', 'complaint', 'pre', 'motion', 'conference', 'unnecessary', 'time', 'amend', 'counterclaim', 'any', 'shall', 'file', 'august', '1', '2016', 'time', 'plaintiff', 'may', 'renew', 'request', 'pre', 'motion', 'conference', 'order', 'judge', 'ann', 'donnelly', '6302016', 'sise', 'ellen', 'enter', '06302016']","['ORDER', 'deny', '18', 'motion', 'pre', 'motion', 'conference', 'give', 'defendant', 'consider', 'file', 'amend', 'complaint', 'pre', 'motion', 'conference', 'unnecessary', 'time', 'amend', 'counterclaim', 'any', 'shall', 'file', 'august', '1', '2016', 'time', 'plaintiff', 'may', 'renew', 'request', 'pre', 'motion', 'conference', 'order', 'judge', 'ann', 'M', 'donnelly', '6302016', 'sise', 'ellen', 'enter', '06302016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-07-27,,"SCHEDULING ORDER: Counsel failed to appear for the conference scheduled for today 7/27/2016. On or before 8/3/2016 Counsel are to submit a letter explaining their non appearance. A Telephone Conference is set for 8/16/2016 at 11:00 AM before Magistrate Judge Vera M. Scanlon. Plaintiff's counsel is to organize a conference call, then phone Chambers at (718) 613-2300 with all counsel on the line. Ordered by Magistrate Judge Vera M. Scanlon on 7/27/2016. (Gillespie, Saudia) (Entered: 07/27/2016)","['schedule', 'order', 'counsel', 'fail', 'appear', 'conference', 'schedule', 'today', '7272016', '832016', 'counsel', 'submit', 'letter', 'explain', 'non', 'appearance', 'telephone', 'conference', 'set', '8162016', '1100', 'magistrate', 'judge', 'vera', 'm', 'scanlon', 'plaintiffs', 'counsel', 'organize', 'conference', 'call', 'phone', 'chamber', '718', '6132300', 'counsel', 'line', 'order', 'magistrate', 'judge', 'vera', 'm', 'scanlon', '7272016', 'gillespie', 'saudia', 'enter', '07272016']","['SCHEDULINGORDER', 'counsel', 'fail', 'appear', 'conference', 'schedule', 'today', '7272016', '832016', 'counsel', 'submit', 'letter', 'explain', 'non', 'appearance', 'A', 'telephone', 'conference', 'set', '8162016', '1100', 'AM', 'magistrate', 'judge', 'vera', 'M', 'scanlon', 'plaintiffs', 'counsel', 'organize', 'conference', 'call', 'phone', 'chamber', '718', '6132300', 'counsel', 'line', 'order', 'magistrate', 'judge', 'vera', 'M', 'scanlon', '7272016', 'gillespie', 'saudia', 'enter', '07272016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-07-27,21,"Letter Jointly Filed Regarding the Missed Telephone Conference by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 07/27/2016)","['letter', 'jointly', 'file', 'regard', 'miss', 'telephone', 'conference', 'lg', 'capital', 'fund', 'llc', 'kehrli', 'kevin', 'enter', '07272016']","['letter', 'jointly', 'file', 'regard', 'miss', 'telephone', 'conference', 'LG', 'capital', 'fund', 'LLC', 'kehrli', 'kevin', 'enter', '07272016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-08-02,22,"MOTION for pre motion conference re 16 Answer to Complaint, Counterclaim by LG Capital Funding, LLC. (Attachments: # 1 Exhibit A - Initial Pre-Motion Letter) (Kehrli, Kevin) (Entered: 08/02/2016)","['motion', 'pre', 'motion', 'conference', '16', 'answer', 'complaint', 'counterclaim', 'lg', 'capital', 'fund', 'llc', 'attachments', '1', 'exhibit', 'initial', 'premotion', 'letter', 'kehrli', 'kevin', 'enter', '08022016']","['MOTION', 'pre', 'motion', 'conference', '16', 'answer', 'complaint', 'counterclaim', 'LG', 'capital', 'fund', 'LLC', 'attachments', '1', 'exhibit', 'A', 'initial', 'premotion', 'letter', 'kehrli', 'kevin', 'enter', '08022016']",,,,,,,
 1:16-cv-01215-AMD-SJB,2016-08-16,,"Minute Entry for proceedings held before Magistrate Judge Vera M. Scanlon:Telephone Conference held on 8/16/2016 in Room 504 North. Kevin Kehrli appearing for Plaintiff and Simon Kogan appearing for Defendant. See separate docket entry for Order issuing from this proceeding. (Tape #11:11-11:38.) (Quinlan, Krista) (Entered: 08/25/2016)","['minute', 'entry', 'proceed', 'hold', 'magistrate', 'judge', 'vera', 'm', 'scanlontelephone', 'conference', 'hold', '8162016', 'room', '504', 'north', 'kevin', 'kehrli', 'appear', 'plaintiff', 'simon', 'kogan', 'appear', 'defendant', 'see', 'separate', 'docket', 'entry', 'order', 'issue', 'proceed', 'tape', '11111138', 'quinlan', 'krista', 'enter', '08252016']","['minute', 'entry', 'proceed', 'hold', 'magistrate', 'judge', 'vera', 'M', 'scanlontelephone', 'conference', 'hold', '8162016', 'room', '504', 'north', 'kevin', 'kehrli', 'appear', 'plaintiff', 'simon', 'kogan', 'appear', 'defendant', 'see', 'separate', 'docket', 'entry', 'order', 'issue', 'proceed', 'tape', '11111138', 'quinlan', 'krista', 'enter', '08252016']",,,,,,,
