Original Docket Text,Removed unnecessary POS & vocab,Removed unnecessary POS & vocab DT,DT Topics,Apply Trigram Phrase Model
"Letter pre-motion conference request by Cardiogenics Holdings, Inc. (Kogan, Simon) (Entered: 05/09/2016)",letter premotion conference request,,"Others, Motions",
"Letter Response to Defendant's Request for Pre-Motion Conference by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 05/11/2016)",letter response request premotion conference,,"Others, Other Answers, Answers to Complaints, Motions",
"Proposed Scheduling Order by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 05/12/2016)",propose schedule order,propose schedule order,,propose schedule order
"Letter re: Proposed Scheduling Order by LG Capital Funding, LLC (Attachments: # 1 Exhibit A, # 2 Exhibit B) (Kehrli, Kevin) (Entered: 05/12/2016)",letter propose schedule order,letter propose schedule order,,letter propose schedule order
"ORDER The request for a pre motion conference 12 is denied. The Court's review of the complaint indicates that a motion to dismiss would not be the best use of the Court's resources at this time. Nevertheless, should the defendant decide to file a motion to dismiss, the defendant is reminded that it must file an answer, or otherwise move, by May 17, 2016. Ordered by Judge Ann M Donnelly on 5/13/2016. (Sise, Ellen) (Entered: 05/13/2016)",order request motion conference deny complaint indicate motion dismiss would best use resource nevertheless decide motion dismiss remind answer otherwise move order,,"Complaints, Others, Answers to Complaints, Motions",
"ANSWER to 1 Complaint, , COUNTERCLAIM against All Plaintiffs by All Defendants. (Attachments: # 1 Exhibit eX. a) (Kogan, Simon) (Entered: 05/17/2016)",answer complaint counterclaim,,"Complaints, Answers to Complaints",
"Minute Entry for proceedings held before Magistrate Judge Vera M. Scanlon:Initial Conference Hearing held on 5/20/2016 in Room 504 North. Kevin Kehrli appearing for Plaintiff and Simon Kogan appearing for Defendant. See separate docket entry for Order issuing from this proceeding. (Tape #12:16-12:53.) (Gillespie, Saudia) (Entered: 05/20/2016)",minute entry hold initial conference hear hold room north appear appear separate entry order,,Motions,
"SCHEDULING ORDER: As discussed during the 5/20/2016 conference (see attached order for additional detail and deadlines), On or before 9/19/2016, the Parties will file a joint status report letter confirming that discovery is complete. On or before 10/20/2016, the Parties will initiate any dispositive motions in accordance with the Individual Rules of the District Judge. On or before 10/21/2016, the Parties will file their joint Proposed Pretrial Order. A Telephone Conference is set for 7/27/2016 at 10:30 a.m. before Magistrate Judge Vera M. Scanlon. Plaintiff's counsel is to organize a conference call, then phone Chambers at (718) 613-2300 with all counsel on the line. Ordered by Magistrate Judge Vera M. Scanlon on 5/20/2016. (Gillespie, Saudia) (Entered: 05/20/2016)",schedule order discuss conference joint status report letter confirm discovery complete initiate dispositive motion accordance individual rule joint propose pretrial order telephone conference organize conference call phone line order,,"Others, Motions",
"MOTION for pre motion conference re 16 Answer to Complaint, Counterclaim to Dismiss Counterclaims by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 06/01/2016)",motion motion conference answer complaint counterclaim dismiss counterclaim,,"Complaints, Answers to Complaints, Motions",
"Letter responding to pre-motion request by Cardiogenics Holdings, Inc. (Kogan, Simon) (Entered: 06/06/2016)",letter respond premotion request,,Others,
"REPLY to Response to Motion re 18 MOTION for pre motion conference re 16 Answer to Complaint, Counterclaim to Dismiss Counterclaims filed by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 06/14/2016)",reply response motion motion motion conference answer complaint counterclaim dismiss counterclaim,,"Complaints, Other Answers, Answers to Complaints, Motions",
"ORDER denying 18 Motion for Pre Motion Conference. Given that the defendant is considering filing an amended complaint, a pre motion conference is unnecessary at this time. The amended counterclaim, if any, shall be filed by August 1, 2016. At that time, the plaintiff may renew its request for a pre motion conference. Ordered by Judge Ann M Donnelly on 6/30/2016. (Sise, Ellen) (Entered: 06/30/2016)",order deny motion motion conference give consider amend complaint motion conference unnecessary amend counterclaim renew request motion conference order,,"Complaints, Others, Motions",
"SCHEDULING ORDER: Counsel failed to appear for the conference scheduled for today 7/27/2016. On or before 8/3/2016 Counsel are to submit a letter explaining their non appearance. A Telephone Conference is set for 8/16/2016 at 11:00 AM before Magistrate Judge Vera M. Scanlon. Plaintiff's counsel is to organize a conference call, then phone Chambers at (718) 613-2300 with all counsel on the line. Ordered by Magistrate Judge Vera M. Scanlon on 7/27/2016. (Gillespie, Saudia) (Entered: 07/27/2016)",schedule order fail appear conference schedule today letter explain non appearance telephone conference organize conference call phone line order,,Motions,
"Letter Jointly Filed Regarding the Missed Telephone Conference by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 07/27/2016)",letter jointly miss telephone conference,,Motions,
"MOTION for pre motion conference re 16 Answer to Complaint, Counterclaim by LG Capital Funding, LLC. (Attachments: # 1 Exhibit A - Initial Pre-Motion Letter) (Kehrli, Kevin) (Entered: 08/02/2016)",motion motion conference answer complaint counterclaim,,"Complaints, Answers to Complaints, Motions",
"Minute Entry for proceedings held before Magistrate Judge Vera M. Scanlon:Telephone Conference held on 8/16/2016 in Room 504 North. Kevin Kehrli appearing for Plaintiff and Simon Kogan appearing for Defendant. See separate docket entry for Order issuing from this proceeding. (Tape #11:11-11:38.) (Quinlan, Krista) (Entered: 08/25/2016)",minute entry hold telephone conference hold room north appear appear separate entry order,,Motions,
"SCHEDULING ORDER: As discussed during the 8/16/2016 conference (see attached order for additional detail and deadlines), a Telephone Conference is set for 9/13/2016 at 11:00 AM before Magistrate Judge Vera M. Scanlon. Plaintiff's counsel is to organize a conference call, then phone Chambers at (718) 613-2300 with all counsel on the line. The Parties have done no discovery and have no excuse for failing to do so except for the fact that there has been intermittently a PMC letter pending as to the motion to dismiss the counterclaim. A letter was only recently filed again on 8/2/2016. Discovery is not stayed during the pendency of any motion practice. The Parties should expeditiously move ahead with discovery related to the Plaintiff's claims. They are to develop a plan for counterclaim discovery that concludes by 11/30/2016. Ordered by Magistrate Judge Vera M. Scanlon on 8/16/16. (Quinlan, Krista) (Entered: 08/25/2016)",schedule order discuss conference telephone conference organize conference call phone line do discovery excuse fail except intermittently pmc letter motion dismiss counterclaim letter recently discovery pendency motion practice expeditiously move ahead discovery develop plan counterclaim discovery conclude order,,"Complaints, Motions",
"ORDER granting 22 Motion for Pre Motion Conference. A pre motion conference will take place on August 29, 2016 at 11:30 a.m. in Courtroom 4G North. Ordered by Judge Ann M Donnelly on 8/17/2016. (Sise, Ellen) (Entered: 08/17/2016)",order grant motion motion conference motion conference place courtroom north order,,Motions,
"Minute Entry for proceedings held before Judge Ann M Donnelly: Pre Motion Conference held on 8/29/2016. Appearances by Kevin Kehrli for the plaintiff and Simon Kogan for the defendant. Case called. Discussions held. The plaintiff shall file the motion to dismiss the counterclaim on or before September 12, 2016. The defendant's opposition is due by October 12, 2016. The reply, if any, shall be filed by October 19, 2016. (Court Reporter Georgette Betts.) (Sise, Ellen) (Entered: 08/29/2016)",minute entry hold motion conference hold appearance call discussion hold motion dismiss counterclaim opposition due reply,,"Complaints, Other Answers, Motions",
"Motion to Dismiss for Failure to State a Claim by LG Capital Funding, LLC. (Attachments: # 1 Memorandum in Support, # 2 Declaration, # 3 Exhibit A - Transcript, # 4 Exhibit B - Notice 1, # 5 Exhibit C - Notice 2, # 6 Exhibit D - Letter, # 7 Certificate of Service) (Kehrli, Kevin) (Entered: 09/12/2016)",motion dismiss failure,,Motions,
"AFFIDAVIT/DECLARATION in Support re 24 Motion to Dismiss for Failure to State a Claim *CORRECTED DECLARATION* filed by LG Capital Funding, LLC. (Attachments: # 1 Exhibit A - Transcript, # 2 Exhibit B - April Notice of Conversion, # 3 Exhibit C - May Notice of Conversion, # 4 Exhibit D - Default Letter, # 5 Exhibit E - CGNH 2014 Annual Report) (Kehrli, Kevin) (Entered: 09/13/2016)",affidavit declaration support motion dismiss failure correct declaration,,"Other Answers, Motions",
"Minute Entry for proceedings held before Magistrate Judge Vera M. Scanlon:Telephone Conference held on 9/13/2016 in Room 504 North. Kevin Kehrli appearing for Plaintiff. Simon Kogan appearing for Defendant. See separate docket entry for Order issuing from this proceeding. (Tape #11:00-11:12.) (Quinlan, Krista) (Entered: 09/13/2016)",minute entry hold telephone conference hold room north appear appear separate entry order,,Motions,
"SCHEDULING ORDER: As discussed during the 9/13/2016 conference (see attached order for additional detail and deadlines), a Telephone Conference is set for 11/1/2016 at 3:15 PM before Magistrate Judge Vera M. Scanlon. Plaintiff's counsel is to organize a conference call, then phone Chambers at (718) 613-2300 with all counsel on the line. The Parties are reminded that discovery is not stayed pending the motion to dismiss. The Defendants initial production in response to Plaintiff's outstanding demand by 9/23/2016 for the reasons stated on the record. Ordered by Magistrate Judge Vera M. Scanlon on 9/13/2016. (Quinlan, Krista) (Entered: 09/13/2016)",schedule order discuss conference telephone conference pm organize conference call phone line remind discovery motion dismiss initial production response outstanding demand reason order,,"Other Answers, Answers to Complaints, Motions",
"Letter MOTION for Extension of Time to File opposition to motion to dismiss counterclaims by Cardiogenics Holdings, Inc.. (Kogan, Simon) (Entered: 10/12/2016)",letter motion extension opposition motion dismiss counterclaim inc,,"Complaints, Other Answers, Motions",
"RESPONSE to Motion re 27 Letter MOTION for Extension of Time to File opposition to motion to dismiss counterclaims filed by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 10/12/2016)",response motion letter motion extension opposition motion dismiss counterclaim,,"Complaints, Other Answers, Answers to Complaints, Motions",
"REPLY in Support re 27 Letter MOTION for Extension of Time to File opposition to motion to dismiss counterclaims filed by Cardiogenics Holdings, Inc.. (Kogan, Simon) (Entered: 10/12/2016)",reply support letter motion extension opposition motion dismiss counterclaim inc,,"Complaints, Other Answers, Motions",
"ORDER granting 27 Motion for Extension of Time to File. The defendant's opposition is due by October 17, 2016. The reply, if any, shall be filed by October 24, 2016. Ordered by Judge Ann M Donnelly on 10/12/2016. (Sise, Ellen) (Entered: 10/12/2016)",order grant motion extension opposition due reply order,,"Other Answers, Motions",
"RESPONSE in Opposition re 24 Motion to Dismiss for Failure to State a Claim filed by Cardiogenics Holdings, Inc.. (Kogan, Simon) (Entered: 10/17/2016)",response opposition motion dismiss failure inc,,"Other Answers, Answers to Complaints, Motions",
"AFFIDAVIT/DECLARATION in Opposition re 24 Motion to Dismiss for Failure to State a Claim filed by Cardiogenics Holdings, Inc.. (Attachments: # 1 Exhibit Ex. A, # 2 Exhibit Ex. B, # 3 Exhibit Ex C, # 4 Exhibit ex d, # 5 Exhibit ex. e, # 6 Exhibit ex f, # 7 Exhibit Ex G, # 8 Exhibit ExH, # 9 Exhibit ex I) (Kogan, Simon) (Entered: 10/17/2016)",affidavit declaration opposition motion dismiss failure inc,,"Other Answers, Motions",
"AFFIDAVIT/DECLARATION in Opposition re 24 Motion to Dismiss for Failure to State a Claim filed by Cardiogenics Holdings, Inc.. (Attachments: # 1 Exhibit eX. a, # 2 Exhibit Ex B, # 3 Exhibit Ex. C, # 4 Exhibit ex.D, # 5 Exhibit Ex. E, # 6 Exhibit Ex F) (Kogan, Simon) (Entered: 10/17/2016)",affidavit declaration opposition motion dismiss failure inc,,"Other Answers, Motions",
"MOTION to Unseal Document 31 Sealed, Affidavit in Opposition to Motion,, filed by Cardiogenics Holdings, Inc. by Cardiogenics Holdings, Inc.. (Kogan, Simon) (Entered: 10/18/2016)",motion unseal affidavit opposition motion inc,,"Other Answers, Motions",
"ORDER granting 33 Motion to Unseal Document 31 Sealed, Affidavit in Opposition to Motion. Ordered by Judge Ann M. Donnelly on 10/18/2016. (Greene, Donna) (Entered: 10/18/2016)",order grant motion unseal affidavit opposition motion order,,"Other Answers, Motions",
"MOTION for Leave to File a Reply Exceeding the Court's Page Limit by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 10/21/2016)",motion leave reply exceed limit,,"Other Answers, Motions",
"ORDER granting 34 Motion for Leave to File Excess Pages. The plaintiff's reply is not to exceed fifteen pages. Ordered by Judge Ann M Donnelly on 10/21/2016. (Goeke, Justine) (Entered: 10/21/2016)",order grant motion leave excess reply exceed fifteen order,,"Other Answers, Motions",
"REPLY in Support re 24 Motion to Dismiss for Failure to State a Claim filed by LG Capital Funding, LLC. (Attachments: # 1 Declaration, # 2 Exhibit A - Email, # 3 Exhibit B - 1099s) (Kehrli, Kevin) (Entered: 10/24/2016)",reply support motion dismiss failure,,"Other Answers, Motions",
"Letter MOTION for Leave to File a sur-reply by Cardiogenics Holdings, Inc.. (Kogan, Simon) (Entered: 10/31/2016)",letter motion leave surreply inc,,Motions,
"RESPONSE to Motion re 36 Letter MOTION for Leave to File a sur-reply filed by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 10/31/2016)",response motion letter motion leave surreply,,"Other Answers, Answers to Complaints, Motions",
"ORDER denying 36 Motion for Leave to File: the defendant's motion for leave to file a sur-reply is denied. Ordered by Judge Ann M Donnelly on 10/31/2016. (Glass, Caitlin) (Entered: 10/31/2016)",order deny motion leave motion leave surreply deny order,,Motions,
"Minute Entry for proceedings held before Magistrate Judge Vera M. Scanlon:Telephone Conference held on 11/1/2016 in Room 504 North. Kevin Kehrli appearing for Plaintiff. Simon Kogan appearing for Defendants. See separate docket entry for Order issuing from this proceeding. (Tape #4:01-4:15.) (Quinlan, Krista) (Entered: 11/03/2016)",minute entry hold telephone conference hold room north appear appear separate entry order,,Motions,
"SCHEDULING ORDER: As discussed during the 11/1/2016 conference (see attached order for additional detail and deadlines), a Telephone Conference is set for 11/29/2016 at 12:00 PM before Magistrate Judge Vera M. Scanlon. Defendants' counsel is to organize a conference call, then phone Chambers at (718) 613-2300 with all counsel on the line. Counsel are to have a plan for concluding discovery. Counsel were reminded that there is no stay in these proceedings. Depositions of principals to be conducted this month. Ordered by Magistrate Judge Vera M. Scanlon on 11/1/2016. (Quinlan, Krista) (Entered: 11/03/2016)",schedule order discuss conference telephone conference pm organize conference call phone line plan conclude discovery remind deposition principal conduct month order,,Motions,
"Letter MOTION for Extension of Time to Complete Discovery , depositions of the principals by Cardiogenics Holdings, Inc.. (Attachments: # 1 Exhibit eX. a) (Kogan, Simon) (Entered: 11/22/2016)",letter motion extension complete discovery deposition principal inc,,Motions,
"ORDER granting 39 Motion for Extension of Time to Complete Discovery. The depositions of the principals must be completed on or before 12/7/2016. No further extensions will be granted absent unforeseen, exigent circumstances. Ordered by Magistrate Judge Vera M. Scanlon on 11/28/2016. (Gersovitz, Ryan). (Entered: 11/28/2016)",order grant motion extension complete discovery deposition principal complete extension grant absent unforeseen exigent circumstance order,,Motions,
"Letter Regarding Conference by LG Capital Funding, LLC (Attachments: # 1 Exhibit A - Plaintiff's Notice, # 2 Exhibit B - Defendant's First Notice, # 3 Exhibit C - Email Exchange, # 4 Exhibit D - Defendant's Second Notice, # 5 Exhibit E - Defendant's Third Notice with Plaintiff's Highlights) (Kehrli, Kevin) (Entered: 11/28/2016)",letter conference,,Motions,
"Letter in response to plaintiff's November 28th letter by Cardiogenics Holdings, Inc. (Kogan, Simon) (Entered: 11/29/2016)",letter response letter,,"Other Answers, Answers to Complaints, Motions",
"Minute Entry for proceedings held before Magistrate Judge Vera M. Scanlon:Telephone Conference held on 11/29/2016 in Room 504 North. Kevin Kehrli appearing for Plaintiff. Simon Kogan appearing for Defendants. See separate docket entry for Order issuing from this proceeding. (Tape #12:02-12:19.) (Quinlan, Krista) (Entered: 11/29/2016)",minute entry hold telephone conference hold room north appear appear separate entry order,,Motions,
"SCHEDULING ORDER: As discussed during the 11/29/2016 conference (see attached order for additional detail and deadlines), on or before 2/3/2017, the Parties will file a joint status report letter confirming that discovery is complete. On or before 2/28/2017, the Parties will initiate any dispositive motions in accordance with the Individual Rules of the District Judge. On or before 3/28/2017, the Parties will file their joint Proposed Pretrial Order. Non party subpoena will be served on 12/13/2016. Counsel will consult to see if the subpoena are needed. Fact discovery closes on 1/31/2017 including non party discovery. Counsel will have clients discuss settlement possibilities in December. Ordered by Magistrate Judge Vera M. Scanlon on 11/29/2016. (Quinlan, Krista) (Entered: 11/29/2016)",schedule order discuss conference joint status report letter confirm discovery complete initiate dispositive motion accordance individual rule joint propose pretrial order non subpoena serve consult subpoena need discovery non discovery client discuss settlement possibility order,,"Others, Motions",
"ORDER directing Plaintiff to respond to Defendant's letter at 41 by 12/2/2016. Ordered by Magistrate Judge Vera M. Scanlon on 11/30/2016. (Gersovitz, Ryan) (Entered: 11/30/2016)",order respond letter order,order respond letter order,,order respond letter order
"Letter Reply by LG Capital Funding, LLC (Attachments: # 1 Exhibit A - Fourth Notice) (Kehrli, Kevin) (Entered: 11/30/2016)",letter reply,,Other Answers,
"Letter MOTION for Sanctions by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 12/05/2016)",letter motion sanction,,Motions,
"ORDER directing Defendant to respond to Plaintiff's letter motion at 44 by 12/13/2016. Ordered by Magistrate Judge Vera M. Scanlon on 12/6/2016. (Gersovitz, Ryan) (Entered: 12/06/2016)",order respond letter motion order,order respond letter motion order,,order respond letter motion order
"Letter MOTION for Discovery re: Update and Request for Order by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 12/06/2016)",letter motion discovery update request order,,Others,
"ORDER granting in part and denying in part 45 Motion for Discovery. In light of Defendant's counsel's recent hospitalization, the deposition schedule is suspended. Counsel should confer as soon as possible regarding scheduling of remaining depositions. Counsel is directed to submit a joint letter by 1/6/2017 with a proposed schedule to conduct remaining depositions. NOTE: Defendant's response to 44 must be filed on or before this deadline, NOT on or before 12/13/2016. Ordered by Magistrate Judge Vera M. Scanlon on 12/6/2016. (Gersovitz, Ryan) Modified on 12/7/2016 (Gersovitz, Ryan). (Entered: 12/06/2016)",order grant part deny part motion discovery light recent hospitalization deposition schedule suspend confer soon possible schedule deposition joint letter propose schedule conduct deposition note response deadline order,,"Other Answers, Answers to Complaints, Motions",
"NOTICE OF FILING OF OFFICIAL TRANSCRIPT of Proceedings held on August 29, 2016, before Judge Ann M. Donnelly. Court Reporter/Transcriber Georgette K. Betts, Telephone number 718-804-277. Email address: georgetteb25@gmail.com. Transcript may be viewed at the court public terminal or purchased through the Court Reporter/Transcriber before the deadline for Release of Transcript Restriction. After that date it may be obtained through PACER.File redaction request using event ""Redaction Request - Transcript"" located under ""Other Filings - Other Documents"". Redaction Request due 12/30/2016. Redacted Transcript Deadline set for 1/9/2017. Release of Transcript Restriction set for 3/9/2017. (Betts, Georgette) (Entered: 12/09/2016)",notice official hold reporter transcriber telephone number email address georgetteb25 gmail com view public terminal purchase reporter transcriber deadline release obtain pacer redaction request use event redaction request locate redaction request due redact deadline release,,"Notices, Others",
"Letter regarding the Status of this Action by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 01/06/2017)",letter status,letter status,,letter status
"SCHEDULING ORDER: A Telephone Conference is set for 5/26/2017 at 02:00 PM in Courtroom 504 North before Magistrate Judge Vera M. Scanlon. If Mr. Kogan is able to participate, he should contact Chambers as soon as possible at (718) 613-2300. If Mr. Kogan is not able to participate, a representative from Defendant is to participate. Ordered by Magistrate Judge Vera M. Scanlon on 3/31/2017. (Gersovitz, Ryan) (Entered: 03/31/2017)",schedule order telephone conference pm courtroom north mr able participate contact soon possible mr able participate representative participate order,,Motions,
"NOTICE of Appearance by Chris Han on behalf of LG Capital Funding, LLC (aty to be noticed) (Han, Chris) (Entered: 05/15/2017)",notice appearance,,Notices,
"Letter follow up to telephone conference regarding status of Attorney Kogan by LG Capital Funding, LLC (Attachments: # 1 Exhibit A, # 2 Exhibit B, # 3 Exhibit C) (Steinmetz, Michael) (Entered: 05/26/2017)",letter telephone conference status,,Motions,
"Minute Entry for proceedings held before Magistrate Judge Vera M. Scanlon:Telephone Conference held on 5/26/2017 in Room 504 North. Michael Steinmetz appearing for Plaintiff. No appearance for Defendants. See separate docket entry for Order issuing from this proceeding. (Tape #2:05-2:26.) (Quinlan, Krista) Modified on 5/30/2017 to update attorney appearance. (Quinlan, Krista). (Entered: 05/30/2017)",minute entry hold telephone conference hold room north appear appearance separate entry order proceed update appearance,,Motions,
"ORDER denying 44 Motion for Sanctions. STATUS REPORT ORDER: As discussed during the 5/26/2017 conference (see attached order for additional detail and deadlines), given Defendant's counsel's continuing nonappearance and no participation, which may be related to serious health issues, Defendant must retain new counsel who can participate. The action is stayed until 8/25/2017, by which time counsel must appear for the corporation. If counsel fails to appear, Plaintiff may move for a certificate of default and default judgment. The address and contact information for Defendant's CEO is: Y. Gawad, CEO, Cardiogenics Holdings, 6295 Northern Drive, Unit 8, Mississauga, Ontario, L4V1W8, Canada, office: 905-973-8501 extension 223; cell: 647-404-8501; email: ygawad@cardiogenices.com. Ordered by Magistrate Judge Vera M. Scanlon on 5/26/2017. (Quinlan, Krista) (Entered: 05/30/2017)",order deny motion sanction status report order discuss conference give continue nonappearance participation serious health retain new participate appear corporation fail appear move certificate default default judgment address contact ceo ceo northern drive unit mississauga ontario l4v1w8 canada office extension cell email ygawad cardiogenices com order,,"Service of Process, Motions",
"SUMMONS Returned Executed by LG Capital Funding, LLC. Cardiogenics Holdings, Inc. served on 3/16/2016, answer due 5/17/2016. (Han, Chris) (Entered: 08/29/2017)",summons execute serve answer due,,"Service of Process, Answers to Complaints",
"Request for Certificate of Default by LG Capital Funding, LLC (Attachments: # 1 Declaration of Chris Han, # 2 Exhibit Proposed Certificate of Default) (Han, Chris) (Entered: 08/29/2017)",request certificate default,,"Others, Service of Process, Motions",
"Case reassigned to Magistrate Judge Sanket J. Bulsara. Magistrate Judge Vera M. Scanlon no longer assigned to the case. Please download and review the Individual Practices of the assigned Judges, located on our website. Attorneys are responsible for providing courtesy copies to judges where their Individual Practices require such. (Mahoney, Brenna) (Entered: 09/09/2017)",reassign longer please download locate website responsible courtesy individual practice,reassign longer please download locate website responsible courtesy individual practice,,reassign longer please_download_locate_website responsible_courtesy_individual_practice
"Clerk's ENTRY OF DEFAULT It appearing from the docket maintained in this action that defendant Cardiogenics Holdings, Inc. has failed to appear or otherwise defend this action, the default of defendant Cardiogenics Holdings, Inc. is hereby noted pursuant to Rule 55a of the Federal Rules of Civil Procedure. (Poveda, J.) (Entered: 10/10/2017)",entry default appear maintain fail appear otherwise defend default note rule federal rule civil procedure,,Motions,
"STATUS REPORT ORDER: Plaintiff obtained a certificate of default against Defendant on 10/10/2017, but has not indicated whether it intends to move for default judgment or otherwise communicated with the court since that date. Accordingly, Plaintiff is directed to file a status report on or before 12/13/2017 indicating how it intends to proceed in this case. SO Ordered by Magistrate Judge Sanket J. Bulsara on 11/29/2017. (Cardenas, Alex) (Entered: 11/29/2017)",status report order obtain certificate default indicate intend move default judgment otherwise communicate since status report indicate intend proceed order,,"Service of Process, Motions",
"STATUS REPORT by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 12/12/2017)",status report,status report,,status_report
"MOTION for Default Judgment against Cardiogenics Holdings, Inc. by LG Capital Funding, LLC. (Attachments: # 1 Declaration Lerman Decl., # 2 Declaration Han Decl., # 3 Exhibit A in support of Han Decl., # 4 Exhibit B in support of Han Decl., # 5 Memorandum in Support of Default Judgment, # 6 Proposed Judgment) (Han, Chris) (Entered: 12/22/2017)",motion default judgment,,Motions,
"DECLARATION re 55 MOTION for Default Judgment against Cardiogenics Holdings, Inc. by LG Capital Funding, LLC (Han, Chris) (Entered: 12/26/2017)",declaration motion default judgment,,"Other Answers, Motions",
"ORDER RESPECTFULLY REFERRING MOTION: 55 MOTION for Default Judgment against Cardiogenics Holdings, Inc. filed by LG Capital Funding, LLC respectfully referred to Magistrate Judge Sanket J. Bulsara for a report and recommendation. Ordered by Judge Ann M. Donnelly on 12/26/17. Motion respectfully referred to Sanket J. Bulsara. (Greene, Donna) (Entered: 12/26/2017)",order respectfully motion motion default judgment respectfully referred report recommendation order motion respectfully,,Motions,
"NOTICE by LG Capital Funding, LLC (Han, Chris) (Entered: 01/11/2018)",notice,,Notices,
