Original Docket Text,Organization Portion,Name Portion,Identifying Org and Name,Stripped Org and Name,Removed unnecessary POS & vocab_x,DT Topics,Removed unnecessary POS & vocab DT_x,Apply Trigram Phrase Model_x,Removed unnecessary POS & vocab_y,Removed unnecessary POS & vocab DT_y,Apply Trigram Phrase Model_y,New Topocs,Action [Y/N],If Y
"Case Reassigned to Magistrate Judge Sanket J. Bulsara. Chief Mag. Judge Steven M. Gold no longer assigned to the case. Please download and review the Individual Practices of the assigned Judges, located on our website. Attorneys are responsible for providing courtesy copies to judges where their Individual Practices require such. (Marziliano, August) (Entered: 09/08/2017)",Individual Practices of the assigned Judges,Sanket J. Bulsara Steven M. Gold,"Case Reassigned to Magistrate Judge -NAME- -NAME- -NAME- . Chief Mag . Judge -NAME- -NAME- -NAME- no longer assigned to the case . Please download and review the -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , located on our website . Attorneys are responsible for providing courtesy copies to judges where their Individual Practices require such . ( Marziliano , August ) ( Entered : 09/08/2017 )","Case Reassigned to Magistrate Judge . Chief Mag . Judge no longer assigned to the case . Please download and review the , located on our website . Attorneys are responsible for providing courtesy copies to judges where their Individual Practices require such . ( Marziliano , August ) ( Entered : 09/08/2017 )",reassign chief mag longer please download locate website responsible courtesy individual practice,,reassign chief mag longer please download locate website responsible courtesy individual practice,reassign chief mag longer please_download_locate_website responsible_courtesy_individual_practice,"['reassign .', 'chief mag .', 'longer assigned .', 'please download locate website .', 'responsible courtesy individual practice .']","['reassign .', 'chief mag .', 'longer assigned .', 'please download locate website .', 'responsible courtesy individual practice .']","['reassign .', 'chief mag .', 'longer assigned .', 'please_download_locate_website .', 'responsible_courtesy_individual_practice .']",System Msg,N,
"ORDER REFERRING CASE to Mediation. The parties having expressed a desire to reach an amicable resolution of this case, this case is referred to the EDNY Mediation Panel. For assistance with any questions about the mediation process or the selection of a mediator, counsel are invited to contact EDNY ADR Administrator Robyn Weinstein at (718) 613-2578. The mediation shall be completed by 2/2/2018. Selection of Mediator due by 12/29/2017. SO Ordered by Magistrate Judge Sanket J. Bulsara on 12/4/2017. (Cardenas, Alex) (Entered: 12/05/2017)",EDNY Mediation Panel,Robyn Weinstein Sanket J. Bulsara Cardenas Alex,"ORDER REFERRING CASE to Mediation . The parties having expressed a desire to reach an amicable resolution of this case , this case is referred to the -ORG- -ORG- -ORG- . For assistance with any questions about the mediation process or the selection of a mediator , counsel are invited to contact EDNY ADR Administrator -NAME- -NAME- at ( 718 ) 613-2578 . The mediation shall be completed by 2/2/2018 . Selection of Mediator due by 12/29/2017 . SO Ordered by Magistrate Judge -NAME- -NAME- -NAME- on 12/4/2017 . ( -NAME- , -NAME- ) ( Entered : 12/05/2017 )","ORDER REFERRING CASE to Mediation . The parties having expressed a desire to reach an amicable resolution of this case , this case is referred to the . For assistance with any questions about the mediation process or the selection of a mediator , counsel are invited to contact EDNY ADR Administrator at ( 718 ) 613-2578 . The mediation shall be completed by 2/2/2018 . Selection of Mediator due by 12/29/2017 . SO Ordered by Magistrate Judge on 12/4/2017 . ( , ) ( Entered : 12/05/2017 )",order mediation express desire reach amicable resolution assistance question mediation process selection mediator invite contact edny adr administrator mediation complete selection mediator due order,,order mediation express desire reach amicable resolution assistance question mediation process selection mediator invite contact edny adr administrator mediation complete selection mediator due order,order mediation express desire reach amicable resolution assistance question mediation process selection mediator invite contact edny adr administrator mediation complete selection mediator due order,"['order mediation .', 'express desire reach amicable resolution .', 'assistance question mediation process selection mediator invite contact edny adr administrator .', 'mediation complete .', 'selection mediator due .', 'order .']","['order mediation .', 'express desire reach amicable resolution .', 'assistance question mediation process selection mediator invite contact edny adr administrator .', 'mediation complete .', 'selection mediator due .', 'order .']","['order mediation .', 'express desire reach amicable resolution .', 'assistance question mediation process selection mediator invite contact edny adr administrator .', 'mediation complete .', 'selection mediator due .', 'order .']",Court's Order,Y,Triage
"SCHEDULING ORDER: The close of Fact Discovery shall be 2/9/2018, including Expert Discovery. The Parties are directed to initiate dispositive motion practice by 3/16/2018. SO Ordered by Magistrate Judge Sanket J. Bulsara on 12/4/2017. (Cardenas, Alex) (Entered: 12/05/2017)",,Sanket J. Bulsara Cardenas Alex,"SCHEDULING ORDER : The close of Fact Discovery shall be 2/9/2018 , including Expert Discovery . The Parties are directed to initiate dispositive motion practice by 3/16/2018 . SO Ordered by Magistrate Judge -NAME- -NAME- -NAME- on 12/4/2017 . ( -NAME- , -NAME- ) ( Entered : 12/05/2017 )","SCHEDULING ORDER : The close of Fact Discovery shall be 2/9/2018 , including Expert Discovery . The Parties are directed to initiate dispositive motion practice by 3/16/2018 . SO Ordered by Magistrate Judge on 12/4/2017 . ( , ) ( Entered : 12/05/2017 )",schedule order discovery discovery initiate dispositive motion practice order,,schedule order discovery discovery initiate dispositive motion practice order,schedule order discovery discovery initiate dispositive motion practice order,"['schedule order discovery discovery .', 'initiate dispositive motion practice .', 'order .']","['schedule order discovery discovery .', 'initiate dispositive motion practice .', 'order .']","['schedule order discovery discovery .', 'initiate dispositive motion practice .', 'order .']",Court's Order,Y,Triage
"SELECTION OF MEDIATOR Cynthia Boyce selected as Mediator. The first mediation session took place on January 18, 2018. Upon completion of the mediation, both parties must submit a Mediation Report which can be found at: https://www.nyed.uscourts.gov/adr-forms. The Mediation Report must be e-mailed to Robyn Weinstein at Robyn_Weinstein@nyed.uscourts.gov within two weeks following mediation session.Report of Mediation due by 3/28/2018. (Weinstein, Robyn) (Entered: 03/14/2018)",,Cynthia Boyce Robyn Weinstein Weinstein Robyn,"SELECTION OF MEDIATOR -NAME- -NAME- selected as Mediator . The first mediation session took place on January 18 , 2018 . Upon completion of the mediation , both parties must submit a Mediation Report which can be found at : https : //www.nyed.uscourts.gov/adr-forms . The Mediation Report must be e-mailed to -NAME- -NAME- at Robyn_Weinstein @ nyed.uscourts.gov within two weeks following mediation session.Report of Mediation due by 3/28/2018 . ( -NAME- , -NAME- ) ( Entered : 03/14/2018 )","SELECTION OF MEDIATOR selected as Mediator . The first mediation session took place on January 18 , 2018 . Upon completion of the mediation , both parties must submit a Mediation Report which can be found at : https : //www.nyed.uscourts.gov/adr-forms . The Mediation Report must be e-mailed to at Robyn_Weinstein @ nyed.uscourts.gov within two weeks following mediation session.Report of Mediation due by 3/28/2018 . ( , ) ( Entered : 03/14/2018 )",selection mediator select mediator mediation session place upon completion mediation mediation report find https www nyed uscourts gov adrforms mediation report email robyn weinstein nyed uscourts gov within week mediation session report mediation due,,selection mediator select mediator mediation session place upon completion mediation mediation report find https www nyed uscourts gov adrforms mediation report email robyn weinstein nyed uscourts gov within week mediation session report mediation due,selection mediator select mediator mediation session place upon completion mediation mediation_report find https www nyed_uscourts_gov adrforms mediation_report email robyn weinstein nyed_uscourts_gov within week mediation session report mediation due,"['selection mediator select mediator .', 'mediation session place .', 'upon completion mediation mediation report find http www.nyed.uscourts.govadrforms .', 'mediation report email robyn_weinstein nyed.uscourts.gov within week mediation session.report mediation due .']","['selection mediator select mediator .', 'mediation session place .', 'upon completion mediation mediation report find http www.nyed.uscourts.govadrforms .', 'mediation report email robyn_weinstein nyed.uscourts.gov within week mediation session.report mediation due .']","['selection mediator select mediator .', 'mediation session place .', 'upon completion mediation mediation report find http www.nyed.uscourts.govadrforms .', 'mediation report email robyn_weinstein nyed.uscourts.gov within week mediation session.report mediation due .']",Court's Order,Y,Triage
"REPORT of Mediation unsettled. Both parties must submit a Mediation Report which can be found at: https://www.nyed.uscourts.gov/adr-forms. The Mediation Report must be e-mailed to Robyn Weinstein at Robyn_Weinstein@nyed.uscourts.gov within two weeks following mediation session.Mediation Report due by 3/28/2018. (Weinstein, Robyn) (Entered: 03/14/2018)",,Robyn Weinstein Weinstein Robyn,"REPORT of Mediation unsettled . Both parties must submit a Mediation Report which can be found at : https : //www.nyed.uscourts.gov/adr-forms . The Mediation Report must be e-mailed to -NAME- -NAME- at Robyn_Weinstein @ nyed.uscourts.gov within two weeks following mediation session.Mediation Report due by 3/28/2018 . ( -NAME- , -NAME- ) ( Entered : 03/14/2018 )","REPORT of Mediation unsettled . Both parties must submit a Mediation Report which can be found at : https : //www.nyed.uscourts.gov/adr-forms . The Mediation Report must be e-mailed to at Robyn_Weinstein @ nyed.uscourts.gov within two weeks following mediation session.Mediation Report due by 3/28/2018 . ( , ) ( Entered : 03/14/2018 )",report mediation unsettled mediation report find https www nyed uscourts gov adrforms mediation report email robyn weinstein nyed uscourts gov within week mediation session mediation report due,,report mediation unsettled mediation report find https www nyed uscourts gov adrforms mediation report email robyn weinstein nyed uscourts gov within week mediation session mediation report due,report mediation unsettled mediation_report find https www nyed_uscourts_gov adrforms mediation_report email robyn weinstein nyed_uscourts_gov within week mediation session mediation_report due,"['report mediation unsettle .', 'mediation report find http www.nyed.uscourts.govadrforms .', 'mediation report email robyn_weinstein nyed.uscourts.gov within week mediation session.mediation report due .']","['report mediation unsettle .', 'mediation report find http www.nyed.uscourts.govadrforms .', 'mediation report email robyn_weinstein nyed.uscourts.gov within week mediation session.mediation report due .']","['report mediation unsettle .', 'mediation report find http www.nyed.uscourts.govadrforms .', 'mediation report email robyn_weinstein nyed.uscourts.gov within week mediation session.mediation report due .']",Court's Order,Y,Triage
"Case Assigned to Judge Kiyo A. Matsumoto and Magistrate Judge James Orenstein. Please download and review the Individual Practices of the assigned Judges, located on our website. Attorneys are responsible for providing courtesy copies to judges where their Individual Practices require such. (Davis, Kimberly) (Entered: 06/01/2016)",Individual Practices of the assigned Judges,Kiyo A. Matsumoto James Orenstein ( Davis Kimberly,"Case Assigned to Judge -NAME- -NAME- -NAME- and Magistrate Judge -NAME- -NAME- . Please download and review the -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , located on our website . Attorneys are responsible for providing courtesy copies to judges where their Individual Practices require such . -NAME- -NAME- , -NAME- ) ( Entered : 06/01/2016 )","Case Assigned to Judge and Magistrate Judge . Please download and review the , located on our website . Attorneys are responsible for providing courtesy copies to judges where their Individual Practices require such . , ) ( Entered : 06/01/2016 )",please download locate website responsible courtesy individual practice,,please download locate website responsible courtesy individual practice,please_download_locate_website responsible_courtesy_individual_practice,"['assign .', 'please download locate website .', 'responsible courtesy individual practice .', '']","['assign .', 'please download locate website .', 'responsible courtesy individual practice .', '']","['assign .', 'please_download_locate_website .', 'responsible_courtesy_individual_practice .', '']",System Msg,N,
"This attorney case opening filing has been checked for quality control. See the attachment for corrections that were made, if any. See corrections made on this case. (Davis, Kimberly) (Entered: 06/01/2016)",,( Davis Kimberly,"This attorney case opening filing has been checked for quality control . See the attachment for corrections that were made , if any . See corrections made on this case . -NAME- -NAME- , -NAME- ) ( Entered : 06/01/2016 )","This attorney case opening filing has been checked for quality control . See the attachment for corrections that were made , if any . See corrections made on this case . , ) ( Entered : 06/01/2016 )",open check quality control correction correction,,open check quality control correction correction,open_check_quality_control correction correction,"['open filing check quality control .', 'correction .', 'correction .', '']","['open filing check quality control .', 'correction .', 'correction .', '']","['open_filing_check_quality control .', 'correction .', 'correction .', '']",System Msg,N,
"Corporate Disclosure Statement by 5Barz International, Inc. (Schatz, Philip) (Entered: 06/24/2016)","5Barz International , Inc.",Schatz Philip,"Corporate Disclosure Statement by -ORG- -ORG- -ORG- -ORG- ( -NAME- , -NAME- ) ( Entered : 06/24/2016 )","Corporate Disclosure Statement by ( , ) ( Entered : 06/24/2016 )",corporate disclosure,,corporate disclosure,corporate_disclosure,['corporate disclosure'],['corporate disclosure'],['corporate_disclosure'],System Msg,N,
"Proposed Scheduling Order submitted jointly by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 08/01/2016)",LG Capital Funding,Kevin,"Proposed Scheduling Order submitted jointly by -ORG- -ORG- -ORG- , LLC ( Kehrli , -NAME- ) ( Entered : 08/01/2016 )","Proposed Scheduling Order submitted jointly by , LLC ( Kehrli , ) ( Entered : 08/01/2016 )",propose schedule order jointly,,propose schedule order jointly,propose schedule order jointly,['propose schedule order jointly'],['propose schedule order jointly'],['propose schedule order jointly'],Discovery,Y,Triage
"Letter Submitted Jointly pursuant to the Court's July 7, 2016 Minute Entry by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 08/01/2016)",LG Capital Funding,Kevin,"Letter Submitted Jointly pursuant to the Court 's July 7 , 2016 Minute Entry by -ORG- -ORG- -ORG- , LLC ( Kehrli , -NAME- ) ( Entered : 08/01/2016 )","Letter Submitted Jointly pursuant to the Court 's July 7 , 2016 Minute Entry by , LLC ( Kehrli , ) ( Entered : 08/01/2016 )",letter jointly minute entry,,letter jointly minute entry,letter jointly minute_entry,['letter jointly minute entry'],['letter jointly minute entry'],['letter jointly minute_entry'],Letter to Court,Y,Triage
"STATUS REPORT and PROPOSED BRIEFING SCHEDULE by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 09/14/2016)",LG Capital Funding,Kevin,"STATUS REPORT and PROPOSED BRIEFING SCHEDULE by -ORG- -ORG- -ORG- , LLC ( Kehrli , -NAME- ) ( Entered : 09/14/2016 )","STATUS REPORT and PROPOSED BRIEFING SCHEDULE by , LLC ( Kehrli , ) ( Entered : 09/14/2016 )",status report propose brief schedule,,status report propose brief schedule,status_report propose brief schedule,['status report propose brief schedule'],['status report propose brief schedule'],['status_report propose brief schedule'],Letter to Court,Y,Triage
"Proposed Scheduling Order (Joint and Amended) by 5Barz International, Inc. (Mintz Goski, Sheryl) (Entered: 09/27/2016)","5Barz International , Inc.",Mintz Goski Sheryl,"Proposed Scheduling Order ( Joint and Amended ) by -ORG- -ORG- -ORG- -ORG- ( -NAME- -NAME- , -NAME- ) ( Entered : 09/27/2016 )","Proposed Scheduling Order ( Joint and Amended ) by ( , ) ( Entered : 09/27/2016 )",propose scheduling order,,propose scheduling order,propose scheduling order,['propose scheduling order'],['propose scheduling order'],['propose scheduling order'],Discovery,Y,Triage
"Letter re: Nov. 2 Status Report Order by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 11/08/2016)",LG Capital Funding,Kevin,"Letter re : Nov. 2 Status Report Order by -ORG- -ORG- -ORG- , LLC ( Kehrli , -NAME- ) ( Entered : 11/08/2016 )","Letter re : Nov. 2 Status Report Order by , LLC ( Kehrli , ) ( Entered : 11/08/2016 )",letter nov status report order,,letter nov status report order,letter nov status_report order,['letter nov. status report order'],['letter nov. status report order'],['letter nov. status_report order'],Letter to Court,Y,Triage
"STATUS REPORT by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 12/06/2016)",LG Capital Funding,Kevin,"STATUS REPORT by -ORG- -ORG- -ORG- , LLC ( Kehrli , -NAME- ) ( Entered : 12/06/2016 )","STATUS REPORT by , LLC ( Kehrli , ) ( Entered : 12/06/2016 )",status report,,status report,status_report,['status report'],['status report'],['status_report'],Letter to Court,Y,Triage
