,Case ID,Date Filed,#,Docket Text,topics
11, 1:16-cv-01215-AMD-SJB,2016-04-12,9.0,"MOTION for Extension of Time to File Answer by Cardiogenics Holdings, Inc. (Kogan, Simon) Modified on 4/13/2016 to add motion (Quinlan, Krista). (Entered: 04/12/2016)","[('Topic 4', 0.67042), ('Topic 1', 0.25373), ('Topic 7', 0.05171)]"
12, 1:16-cv-01215-AMD-SJB,2016-04-13,10.0,"NOTICE of Appearance by Simon S. Kogan on behalf of Cardiogenics Holdings, Inc. (aty to be noticed) (Kogan, Simon) (Entered: 04/13/2016)","[('Topic 4', 0.67046), ('Topic 1', 0.25377), ('Topic 7', 0.05163)]"
13, 1:16-cv-01215-AMD-SJB,2016-04-13,11.0,"ORDER granting 9 Motion for Extension of Time to Answer. Defendant's deadline to answer the Complaint or otherwise move is extended to 5/17/2016. SCHEDULING ORDER: As set forth in the attached Order, an Initial Conference is scheduled for 5/20/2016 at 12:00 PM before Magistrate Judge Scanlon in Courtroom 504 North. Plaintiff's counsel is directed to confirm with Defendant's counsel that all necessary participants are aware of this conference. Counsel must complete the attached joint proposed scheduling order and file on ECF no later than 5/12/2016. Ordered by Magistrate Judge Vera M. Scanlon on 4/13/2016. (Quinlan, Krista) (Entered: 04/13/2016)","[('Topic 4', 0.67044), ('Topic 1', 0.25369), ('Topic 7', 0.05172)]"
14, 1:16-cv-01215-AMD-SJB,2016-05-09,12.0,"Letter pre-motion conference request by Cardiogenics Holdings, Inc. (Kogan, Simon) (Entered: 05/09/2016)","[('Topic 4', 0.67042), ('Topic 1', 0.2538), ('Topic 7', 0.05164)]"
15, 1:16-cv-01215-AMD-SJB,2016-05-11,13.0,"Letter Response to Defendant's Request for Pre-Motion Conference by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 05/11/2016)","[('Topic 4', 0.6704), ('Topic 1', 0.25376), ('Topic 7', 0.05169)]"
16, 1:16-cv-01215-AMD-SJB,2016-05-12,14.0,"Proposed Scheduling Order by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 05/12/2016)","[('Topic 4', 0.67043), ('Topic 1', 0.25369), ('Topic 7', 0.05173)]"
17, 1:16-cv-01215-AMD-SJB,2016-05-12,15.0,"Letter re: Proposed Scheduling Order by LG Capital Funding, LLC (Attachments: # 1 Exhibit A, # 2 Exhibit B) (Kehrli, Kevin) (Entered: 05/12/2016)","[('Topic 4', 0.67041), ('Topic 1', 0.25379), ('Topic 7', 0.05165)]"
18, 1:16-cv-01215-AMD-SJB,2016-05-13,,"ORDER The request for a pre motion conference 12 is denied. The Court's review of the complaint indicates that a motion to dismiss would not be the best use of the Court's resources at this time. Nevertheless, should the defendant decide to file a motion to dismiss, the defendant is reminded that it must file an answer, or otherwise move, by May 17, 2016. Ordered by Judge Ann M Donnelly on 5/13/2016. (Sise, Ellen) (Entered: 05/13/2016)","[('Topic 4', 0.66939), ('Topic 1', 0.24901), ('Topic 9', 0.05746)]"
19, 1:16-cv-01215-AMD-SJB,2016-05-17,16.0,"ANSWER to 1 Complaint, , COUNTERCLAIM against All Plaintiffs by All Defendants. (Attachments: # 1 Exhibit eX. a) (Kogan, Simon) (Entered: 05/17/2016)","[('Topic 4', 0.6705), ('Topic 1', 0.25367), ('Topic 7', 0.05169)]"
20, 1:16-cv-01215-AMD-SJB,2016-05-20,,"Minute Entry for proceedings held before Magistrate Judge Vera M. Scanlon:Initial Conference Hearing held on 5/20/2016 in Room 504 North. Kevin Kehrli appearing for Plaintiff and Simon Kogan appearing for Defendant. See separate docket entry for Order issuing from this proceeding. (Tape #12:16-12:53.) (Gillespie, Saudia) (Entered: 05/20/2016)","[('Topic 4', 0.6704), ('Topic 1', 0.25379), ('Topic 7', 0.05167)]"
21, 1:16-cv-01215-AMD-SJB,2016-05-20,17.0,"SCHEDULING ORDER: As discussed during the 5/20/2016 conference (see attached order for additional detail and deadlines), On or before 9/19/2016, the Parties will file a joint status report letter confirming that discovery is complete. On or before 10/20/2016, the Parties will initiate any dispositive motions in accordance with the Individual Rules of the District Judge. On or before 10/21/2016, the Parties will file their joint Proposed Pretrial Order. A Telephone Conference is set for 7/27/2016 at 10:30 a.m. before Magistrate Judge Vera M. Scanlon. Plaintiff's counsel is to organize a conference call, then phone Chambers at (718) 613-2300 with all counsel on the line. Ordered by Magistrate Judge Vera M. Scanlon on 5/20/2016. (Gillespie, Saudia) (Entered: 05/20/2016)","[('Topic 4', 0.67043), ('Topic 1', 0.25378), ('Topic 7', 0.05164)]"
22, 1:16-cv-01215-AMD-SJB,2016-06-01,18.0,"MOTION for pre motion conference re 16 Answer to Complaint, Counterclaim to Dismiss Counterclaims by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 06/01/2016)","[('Topic 4', 0.6704), ('Topic 1', 0.25377), ('Topic 7', 0.05169)]"
23, 1:16-cv-01215-AMD-SJB,2016-06-06,19.0,"Letter responding to pre-motion request by Cardiogenics Holdings, Inc. (Kogan, Simon) (Entered: 06/06/2016)","[('Topic 4', 0.67045), ('Topic 1', 0.25368), ('Topic 7', 0.05172)]"
24, 1:16-cv-01215-AMD-SJB,2016-06-14,20.0,"REPLY to Response to Motion re 18 MOTION for pre motion conference re 16 Answer to Complaint, Counterclaim to Dismiss Counterclaims filed by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 06/14/2016)","[('Topic 4', 0.67041), ('Topic 1', 0.25375), ('Topic 7', 0.0517)]"
25, 1:16-cv-01215-AMD-SJB,2016-06-30,,"ORDER denying 18 Motion for Pre Motion Conference. Given that the defendant is considering filing an amended complaint, a pre motion conference is unnecessary at this time. The amended counterclaim, if any, shall be filed by August 1, 2016. At that time, the plaintiff may renew its request for a pre motion conference. Ordered by Judge Ann M Donnelly on 6/30/2016. (Sise, Ellen) (Entered: 06/30/2016)","[('Topic 4', 0.67039), ('Topic 1', 0.25377), ('Topic 7', 0.0517)]"
26, 1:16-cv-01215-AMD-SJB,2016-07-27,,"SCHEDULING ORDER: Counsel failed to appear for the conference scheduled for today 7/27/2016. On or before 8/3/2016 Counsel are to submit a letter explaining their non appearance. A Telephone Conference is set for 8/16/2016 at 11:00 AM before Magistrate Judge Vera M. Scanlon. Plaintiff's counsel is to organize a conference call, then phone Chambers at (718) 613-2300 with all counsel on the line. Ordered by Magistrate Judge Vera M. Scanlon on 7/27/2016. (Gillespie, Saudia) (Entered: 07/27/2016)","[('Topic 4', 0.67041), ('Topic 1', 0.25378), ('Topic 7', 0.05166)]"
27, 1:16-cv-01215-AMD-SJB,2016-07-27,21.0,"Letter Jointly Filed Regarding the Missed Telephone Conference by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 07/27/2016)","[('Topic 4', 0.67043), ('Topic 1', 0.25374), ('Topic 7', 0.05168)]"
28, 1:16-cv-01215-AMD-SJB,2016-08-02,22.0,"MOTION for pre motion conference re 16 Answer to Complaint, Counterclaim by LG Capital Funding, LLC. (Attachments: # 1 Exhibit A - Initial Pre-Motion Letter) (Kehrli, Kevin) (Entered: 08/02/2016)","[('Topic 4', 0.67045), ('Topic 1', 0.25375), ('Topic 7', 0.05165)]"
29, 1:16-cv-01215-AMD-SJB,2016-08-16,,"Minute Entry for proceedings held before Magistrate Judge Vera M. Scanlon:Telephone Conference held on 8/16/2016 in Room 504 North. Kevin Kehrli appearing for Plaintiff and Simon Kogan appearing for Defendant. See separate docket entry for Order issuing from this proceeding. (Tape #11:11-11:38.) (Quinlan, Krista) (Entered: 08/25/2016)","[('Topic 4', 0.67044), ('Topic 1', 0.25377), ('Topic 7', 0.05164)]"
30, 1:16-cv-01215-AMD-SJB,2016-08-16,23.0,"SCHEDULING ORDER: As discussed during the 8/16/2016 conference (see attached order for additional detail and deadlines), a Telephone Conference is set for 9/13/2016 at 11:00 AM before Magistrate Judge Vera M. Scanlon. Plaintiff's counsel is to organize a conference call, then phone Chambers at (718) 613-2300 with all counsel on the line. The Parties have done no discovery and have no excuse for failing to do so except for the fact that there has been intermittently a PMC letter pending as to the motion to dismiss the counterclaim. A letter was only recently filed again on 8/2/2016. Discovery is not stayed during the pendency of any motion practice. The Parties should expeditiously move ahead with discovery related to the Plaintiff's claims. They are to develop a plan for counterclaim discovery that concludes by 11/30/2016. Ordered by Magistrate Judge Vera M. Scanlon on 8/16/16. (Quinlan, Krista) (Entered: 08/25/2016)","[('Topic 4', 0.6705), ('Topic 1', 0.25373), ('Topic 7', 0.05163)]"
31, 1:16-cv-01215-AMD-SJB,2016-08-17,,"ORDER granting 22 Motion for Pre Motion Conference. A pre motion conference will take place on August 29, 2016 at 11:30 a.m. in Courtroom 4G North. Ordered by Judge Ann M Donnelly on 8/17/2016. (Sise, Ellen) (Entered: 08/17/2016)","[('Topic 4', 0.67041), ('Topic 1', 0.2538), ('Topic 7', 0.05164)]"
32, 1:16-cv-01215-AMD-SJB,2016-08-29,,"Minute Entry for proceedings held before Judge Ann M Donnelly: Pre Motion Conference held on 8/29/2016. Appearances by Kevin Kehrli for the plaintiff and Simon Kogan for the defendant. Case called. Discussions held. The plaintiff shall file the motion to dismiss the counterclaim on or before September 12, 2016. The defendant's opposition is due by October 12, 2016. The reply, if any, shall be filed by October 19, 2016. (Court Reporter Georgette Betts.) (Sise, Ellen) (Entered: 08/29/2016)","[('Topic 4', 0.6704), ('Topic 1', 0.25375), ('Topic 7', 0.0517)]"
33, 1:16-cv-01215-AMD-SJB,2016-09-12,24.0,"Motion to Dismiss for Failure to State a Claim by LG Capital Funding, LLC. (Attachments: # 1 Memorandum in Support, # 2 Declaration, # 3 Exhibit A - Transcript, # 4 Exhibit B - Notice 1, # 5 Exhibit C - Notice 2, # 6 Exhibit D - Letter, # 7 Certificate of Service) (Kehrli, Kevin) (Entered: 09/12/2016)","[('Topic 4', 0.67042), ('Topic 1', 0.25377), ('Topic 7', 0.05166)]"
34, 1:16-cv-01215-AMD-SJB,2016-09-13,25.0,"AFFIDAVIT/DECLARATION in Support re 24 Motion to Dismiss for Failure to State a Claim *CORRECTED DECLARATION* filed by LG Capital Funding, LLC. (Attachments: # 1 Exhibit A - Transcript, # 2 Exhibit B - April Notice of Conversion, # 3 Exhibit C - May Notice of Conversion, # 4 Exhibit D - Default Letter, # 5 Exhibit E - CGNH 2014 Annual Report) (Kehrli, Kevin) (Entered: 09/13/2016)","[('Topic 4', 0.67046), ('Topic 1', 0.25376), ('Topic 7', 0.05164)]"
35, 1:16-cv-01215-AMD-SJB,2016-09-13,,"Minute Entry for proceedings held before Magistrate Judge Vera M. Scanlon:Telephone Conference held on 9/13/2016 in Room 504 North. Kevin Kehrli appearing for Plaintiff. Simon Kogan appearing for Defendant. See separate docket entry for Order issuing from this proceeding. (Tape #11:00-11:12.) (Quinlan, Krista) (Entered: 09/13/2016)","[('Topic 4', 0.66938), ('Topic 1', 0.24896), ('Topic 9', 0.05751)]"
36, 1:16-cv-01215-AMD-SJB,2016-09-13,26.0,"SCHEDULING ORDER: As discussed during the 9/13/2016 conference (see attached order for additional detail and deadlines), a Telephone Conference is set for 11/1/2016 at 3:15 PM before Magistrate Judge Vera M. Scanlon. Plaintiff's counsel is to organize a conference call, then phone Chambers at (718) 613-2300 with all counsel on the line. The Parties are reminded that discovery is not stayed pending the motion to dismiss. The Defendants initial production in response to Plaintiff's outstanding demand by 9/23/2016 for the reasons stated on the record. Ordered by Magistrate Judge Vera M. Scanlon on 9/13/2016. (Quinlan, Krista) (Entered: 09/13/2016)","[('Topic 4', 0.6704), ('Topic 1', 0.25376), ('Topic 7', 0.05169)]"
37, 1:16-cv-01215-AMD-SJB,2016-10-12,27.0,"Letter MOTION for Extension of Time to File opposition to motion to dismiss counterclaims by Cardiogenics Holdings, Inc.. (Kogan, Simon) (Entered: 10/12/2016)","[('Topic 4', 0.67044), ('Topic 1', 0.25374), ('Topic 7', 0.05168)]"
38, 1:16-cv-01215-AMD-SJB,2016-10-12,28.0,"RESPONSE to Motion re 27 Letter MOTION for Extension of Time to File opposition to motion to dismiss counterclaims filed by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 10/12/2016)","[('Topic 4', 0.66939), ('Topic 1', 0.249), ('Topic 9', 0.05747)]"
39, 1:16-cv-01215-AMD-SJB,2016-10-12,29.0,"REPLY in Support re 27 Letter MOTION for Extension of Time to File opposition to motion to dismiss counterclaims filed by Cardiogenics Holdings, Inc.. (Kogan, Simon) (Entered: 10/12/2016)","[('Topic 4', 0.66938), ('Topic 1', 0.24899), ('Topic 9', 0.05748)]"
40, 1:16-cv-01215-AMD-SJB,2016-10-12,,"ORDER granting 27 Motion for Extension of Time to File. The defendant's opposition is due by October 17, 2016. The reply, if any, shall be filed by October 24, 2016. Ordered by Judge Ann M Donnelly on 10/12/2016. (Sise, Ellen) (Entered: 10/12/2016)","[('Topic 4', 0.67042), ('Topic 1', 0.25375), ('Topic 7', 0.05169)]"
41, 1:16-cv-01215-AMD-SJB,2016-10-17,30.0,"RESPONSE in Opposition re 24 Motion to Dismiss for Failure to State a Claim filed by Cardiogenics Holdings, Inc.. (Kogan, Simon) (Entered: 10/17/2016)","[('Topic 4', 0.67042), ('Topic 1', 0.2538), ('Topic 7', 0.05164)]"
42, 1:16-cv-01215-AMD-SJB,2016-10-17,31.0,"AFFIDAVIT/DECLARATION in Opposition re 24 Motion to Dismiss for Failure to State a Claim filed by Cardiogenics Holdings, Inc.. (Attachments: # 1 Exhibit Ex. A, # 2 Exhibit Ex. B, # 3 Exhibit Ex C, # 4 Exhibit ex d, # 5 Exhibit ex. e, # 6 Exhibit ex f, # 7 Exhibit Ex G, # 8 Exhibit ExH, # 9 Exhibit ex I) (Kogan, Simon) (Entered: 10/17/2016)","[('Topic 4', 0.6704), ('Topic 1', 0.25378), ('Topic 7', 0.05168)]"
43, 1:16-cv-01215-AMD-SJB,2016-10-17,32.0,"AFFIDAVIT/DECLARATION in Opposition re 24 Motion to Dismiss for Failure to State a Claim filed by Cardiogenics Holdings, Inc.. (Attachments: # 1 Exhibit eX. a, # 2 Exhibit Ex B, # 3 Exhibit Ex. C, # 4 Exhibit ex.D, # 5 Exhibit Ex. E, # 6 Exhibit Ex F) (Kogan, Simon) (Entered: 10/17/2016)","[('Topic 4', 0.67039), ('Topic 1', 0.25376), ('Topic 7', 0.05171)]"
44, 1:16-cv-01215-AMD-SJB,2016-10-18,33.0,"MOTION to Unseal Document 31 Sealed, Affidavit in Opposition to Motion,, filed by Cardiogenics Holdings, Inc. by Cardiogenics Holdings, Inc.. (Kogan, Simon) (Entered: 10/18/2016)","[('Topic 4', 0.67041), ('Topic 1', 0.25378), ('Topic 7', 0.05166)]"
45, 1:16-cv-01215-AMD-SJB,2016-10-18,,"ORDER granting 33 Motion to Unseal Document 31 Sealed, Affidavit in Opposition to Motion. Ordered by Judge Ann M. Donnelly on 10/18/2016. (Greene, Donna) (Entered: 10/18/2016)","[('Topic 4', 0.66938), ('Topic 1', 0.249), ('Topic 9', 0.05747)]"
46, 1:16-cv-01215-AMD-SJB,2016-10-21,34.0,"MOTION for Leave to File a Reply Exceeding the Court's Page Limit by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 10/21/2016)","[('Topic 4', 0.6704), ('Topic 1', 0.25377), ('Topic 7', 0.05169)]"
47, 1:16-cv-01215-AMD-SJB,2016-10-21,,"ORDER granting 34 Motion for Leave to File Excess Pages. The plaintiff's reply is not to exceed fifteen pages. Ordered by Judge Ann M Donnelly on 10/21/2016. (Goeke, Justine) (Entered: 10/21/2016)","[('Topic 4', 0.67041), ('Topic 1', 0.25378), ('Topic 7', 0.05167)]"
48, 1:16-cv-01215-AMD-SJB,2016-10-24,35.0,"REPLY in Support re 24 Motion to Dismiss for Failure to State a Claim filed by LG Capital Funding, LLC. (Attachments: # 1 Declaration, # 2 Exhibit A - Email, # 3 Exhibit B - 1099s) (Kehrli, Kevin) (Entered: 10/24/2016)","[('Topic 4', 0.66939), ('Topic 1', 0.24902), ('Topic 9', 0.05744)]"
49, 1:16-cv-01215-AMD-SJB,2016-10-31,36.0,"Letter MOTION for Leave to File a sur-reply by Cardiogenics Holdings, Inc.. (Kogan, Simon) (Entered: 10/31/2016)","[('Topic 4', 0.67044), ('Topic 1', 0.25373), ('Topic 7', 0.0517)]"
50, 1:16-cv-01215-AMD-SJB,2016-10-31,37.0,"RESPONSE to Motion re 36 Letter MOTION for Leave to File a sur-reply filed by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 10/31/2016)","[('Topic 4', 0.67041), ('Topic 1', 0.25381), ('Topic 7', 0.05163)]"
51, 1:16-cv-01215-AMD-SJB,2016-10-31,,"ORDER denying 36 Motion for Leave to File: the defendant's motion for leave to file a sur-reply is denied. Ordered by Judge Ann M Donnelly on 10/31/2016. (Glass, Caitlin) (Entered: 10/31/2016)","[('Topic 4', 0.66942), ('Topic 1', 0.24893), ('Topic 9', 0.05751)]"
52, 1:16-cv-01215-AMD-SJB,2016-11-01,,"Minute Entry for proceedings held before Magistrate Judge Vera M. Scanlon:Telephone Conference held on 11/1/2016 in Room 504 North. Kevin Kehrli appearing for Plaintiff. Simon Kogan appearing for Defendants. See separate docket entry for Order issuing from this proceeding. (Tape #4:01-4:15.) (Quinlan, Krista) (Entered: 11/03/2016)","[('Topic 4', 0.67042), ('Topic 1', 0.25376), ('Topic 7', 0.05167)]"
53, 1:16-cv-01215-AMD-SJB,2016-11-01,38.0,"SCHEDULING ORDER: As discussed during the 11/1/2016 conference (see attached order for additional detail and deadlines), a Telephone Conference is set for 11/29/2016 at 12:00 PM before Magistrate Judge Vera M. Scanlon. Defendants' counsel is to organize a conference call, then phone Chambers at (718) 613-2300 with all counsel on the line. Counsel are to have a plan for concluding discovery. Counsel were reminded that there is no stay in these proceedings. Depositions of principals to be conducted this month. Ordered by Magistrate Judge Vera M. Scanlon on 11/1/2016. (Quinlan, Krista) (Entered: 11/03/2016)","[('Topic 4', 0.67041), ('Topic 1', 0.25375), ('Topic 7', 0.0517)]"
54, 1:16-cv-01215-AMD-SJB,2016-11-22,39.0,"Letter MOTION for Extension of Time to Complete Discovery , depositions of the principals by Cardiogenics Holdings, Inc.. (Attachments: # 1 Exhibit eX. a) (Kogan, Simon) (Entered: 11/22/2016)","[('Topic 4', 0.67045), ('Topic 1', 0.25378), ('Topic 7', 0.05163)]"
55, 1:16-cv-01215-AMD-SJB,2016-11-28,,"ORDER granting 39 Motion for Extension of Time to Complete Discovery. The depositions of the principals must be completed on or before 12/7/2016. No further extensions will be granted absent unforeseen, exigent circumstances. Ordered by Magistrate Judge Vera M. Scanlon on 11/28/2016. (Gersovitz, Ryan). (Entered: 11/28/2016)","[('Topic 4', 0.67046), ('Topic 1', 0.25377), ('Topic 7', 0.05162)]"
56, 1:16-cv-01215-AMD-SJB,2016-11-28,40.0,"Letter Regarding Conference by LG Capital Funding, LLC (Attachments: # 1 Exhibit A - Plaintiff's Notice, # 2 Exhibit B - Defendant's First Notice, # 3 Exhibit C - Email Exchange, # 4 Exhibit D - Defendant's Second Notice, # 5 Exhibit E - Defendant's Third Notice with Plaintiff's Highlights) (Kehrli, Kevin) (Entered: 11/28/2016)","[('Topic 4', 0.67048), ('Topic 1', 0.25368), ('Topic 7', 0.05169)]"
57, 1:16-cv-01215-AMD-SJB,2016-11-29,41.0,"Letter in response to plaintiff's November 28th letter by Cardiogenics Holdings, Inc. (Kogan, Simon) (Entered: 11/29/2016)","[('Topic 4', 0.67043), ('Topic 1', 0.25378), ('Topic 7', 0.05165)]"
58, 1:16-cv-01215-AMD-SJB,2016-11-29,,"Minute Entry for proceedings held before Magistrate Judge Vera M. Scanlon:Telephone Conference held on 11/29/2016 in Room 504 North. Kevin Kehrli appearing for Plaintiff. Simon Kogan appearing for Defendants. See separate docket entry for Order issuing from this proceeding. (Tape #12:02-12:19.) (Quinlan, Krista) (Entered: 11/29/2016)","[('Topic 4', 0.67047), ('Topic 1', 0.25376), ('Topic 7', 0.05163)]"
59, 1:16-cv-01215-AMD-SJB,2016-11-29,42.0,"SCHEDULING ORDER: As discussed during the 11/29/2016 conference (see attached order for additional detail and deadlines), on or before 2/3/2017, the Parties will file a joint status report letter confirming that discovery is complete. On or before 2/28/2017, the Parties will initiate any dispositive motions in accordance with the Individual Rules of the District Judge. On or before 3/28/2017, the Parties will file their joint Proposed Pretrial Order. Non party subpoena will be served on 12/13/2016. Counsel will consult to see if the subpoena are needed. Fact discovery closes on 1/31/2017 including non party discovery. Counsel will have clients discuss settlement possibilities in December. Ordered by Magistrate Judge Vera M. Scanlon on 11/29/2016. (Quinlan, Krista) (Entered: 11/29/2016)","[('Topic 4', 0.67042), ('Topic 1', 0.25376), ('Topic 7', 0.05168)]"
60, 1:16-cv-01215-AMD-SJB,2016-11-30,,"ORDER directing Plaintiff to respond to Defendant's letter at 41 by 12/2/2016. Ordered by Magistrate Judge Vera M. Scanlon on 11/30/2016. (Gersovitz, Ryan) (Entered: 11/30/2016)","[('Topic 4', 0.67052), ('Topic 1', 0.25371), ('Topic 7', 0.05163)]"
61, 1:16-cv-01215-AMD-SJB,2016-11-30,43.0,"Letter Reply by LG Capital Funding, LLC (Attachments: # 1 Exhibit A - Fourth Notice) (Kehrli, Kevin) (Entered: 11/30/2016)","[('Topic 4', 0.67045), ('Topic 1', 0.25378), ('Topic 7', 0.05162)]"
62, 1:16-cv-01215-AMD-SJB,2016-12-05,44.0,"Letter MOTION for Sanctions by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 12/05/2016)","[('Topic 4', 0.67049), ('Topic 1', 0.25365), ('Topic 7', 0.05171)]"
63, 1:16-cv-01215-AMD-SJB,2016-12-06,,"ORDER directing Defendant to respond to Plaintiff's letter motion at 44 by 12/13/2016. Ordered by Magistrate Judge Vera M. Scanlon on 12/6/2016. (Gersovitz, Ryan) (Entered: 12/06/2016)","[('Topic 4', 0.67044), ('Topic 1', 0.2538), ('Topic 7', 0.05162)]"
64, 1:16-cv-01215-AMD-SJB,2016-12-06,45.0,"Letter MOTION for Discovery re: Update and Request for Order by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 12/06/2016)","[('Topic 4', 0.67042), ('Topic 1', 0.25379), ('Topic 7', 0.05164)]"
65, 1:16-cv-01215-AMD-SJB,2016-12-06,,"ORDER granting in part and denying in part 45 Motion for Discovery. In light of Defendant's counsel's recent hospitalization, the deposition schedule is suspended. Counsel should confer as soon as possible regarding scheduling of remaining depositions. Counsel is directed to submit a joint letter by 1/6/2017 with a proposed schedule to conduct remaining depositions. NOTE: Defendant's response to 44 must be filed on or before this deadline, NOT on or before 12/13/2016. Ordered by Magistrate Judge Vera M. Scanlon on 12/6/2016. (Gersovitz, Ryan) Modified on 12/7/2016 (Gersovitz, Ryan). (Entered: 12/06/2016)","[('Topic 4', 0.67049), ('Topic 1', 0.25366), ('Topic 7', 0.05171)]"
66, 1:16-cv-01215-AMD-SJB,2016-12-09,46.0,"NOTICE OF FILING OF OFFICIAL TRANSCRIPT of Proceedings held on August 29, 2016, before Judge Ann M. Donnelly. Court Reporter/Transcriber Georgette K. Betts, Telephone number 718-804-277. Email address: georgetteb25@gmail.com. Transcript may be viewed at the court public terminal or purchased through the Court Reporter/Transcriber before the deadline for Release of Transcript Restriction. After that date it may be obtained through PACER.File redaction request using event ""Redaction Request - Transcript"" located under ""Other Filings - Other Documents"". Redaction Request due 12/30/2016. Redacted Transcript Deadline set for 1/9/2017. Release of Transcript Restriction set for 3/9/2017. (Betts, Georgette) (Entered: 12/09/2016)","[('Topic 4', 0.67041), ('Topic 1', 0.25375), ('Topic 7', 0.0517)]"
67, 1:16-cv-01215-AMD-SJB,2017-01-06,47.0,"Letter regarding the Status of this Action by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 01/06/2017)","[('Topic 4', 0.67044), ('Topic 1', 0.25372), ('Topic 7', 0.0517)]"
